"순위","선수명","팀명","ERA","G","W","L","SV","HLD","WPCT","IP","H","HR","BB","HBP","SO","R","ER","WHIP"
"1","폰세","한화","1.89","29","17","1","0","0","0.944","180 2/3","128","10","41","6","252","41","38","0.94"
"2","김범수","한화","2.25","73","2","1","2","6","0.667","48","30","0","22","4","41","17","12","1.08"
"2","한승혁","한화","2.25","71","3","3","3","16","0.500","64","56","4","23","7","53","18","16","1.23"
"4","정우주","한화","2.85","51","3","0","0","3","1.000","53 2/3","34","6","21","10","82","18","17","1.02"
"5","와이스","한화","2.87","30","16","5","0","0","0.762","178 2/3","127","13","56","13","207","63","57","1.02"
"6","김기중","한화","3.07","5","0","1","0","0","0.000","14 2/3","16","0","6","1","8","5","5","1.50"
"7","김서현","한화","3.14","69","2","4","33","2","0.333","66","52","4","31","8","71","23","23","1.26"
"8","류현진","한화","3.23","26","9","7","0","0","0.563","139 1/3","144","12","25","4","122","54","50","1.21"
"9","김종수","한화","3.25","63","4","5","0","5","0.444","63 2/3","57","5","36","4","59","30","23","1.46"
"10","박준영","한화","3.60","1","0","0","0","0","-","5","3","0","6","0","3","2","2","1.80"
"11","윤산흠","한화","3.78","12","0","0","0","0","-","16 2/3","16","1","5","3","17","7","7","1.26"
"12","이태양","한화","3.97","14","0","1","0","0","0.000","11 1/3","14","0","5","1","8","5","5","1.68"
"13","문동주","한화","4.02","24","11","5","0","0","0.688","121","112","7","31","3","135","57","54","1.18"
"14","조동욱","한화","4.05","68","3","3","2","5","0.500","60","77","4","29","4","43","29","27","1.77"
"15","박상원","한화","4.19","74","4","3","0","16","0.571","66 2/3","67","4","21","8","52","35","31","1.32"
"16","주현상","한화","5.18","48","5","2","1","3","0.714","41 2/3","59","8","10","3","37","25","24","1.66"
"17","황준서","한화","5.30","23","2","8","0","0","0.200","56","54","7","26","2","57","37","33","1.43"
"18","엄상백","한화","6.58","28","2","7","0","1","0.222","80 2/3","106","13","38","8","74","60","59","1.79"
"19","이상규","한화","8.00","5","0","1","0","0","0.000","9","16","0","4","0","5","9","8","2.22"
"20","권민규","한화","8.44","5","0","0","0","0","-","5 1/3","5","1","7","0","4","5","5","2.25"
"21","강재민","한화","9.00","4","0","0","0","0","-","4","6","1","2","1","5","4","4","2.00"
"22","원종혁","한화","16.20","2","0","0","0","0","-","1 2/3","3","1","2","0","1","3","3","3.00"
"23","김승일","한화","23.63","5","0","0","0","0","-","2 2/3","3","1","3","3","3","7","7","2.25"
