순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
1,구승민,롯데,0,0,0,0,0,0,2,0,0,0
1,박시영,롯데,0,0,0,0,1,1,0,0,0,0
3,박준우,롯데,1,0,0,0,0,0,1,0,0,0.25
3,윤성빈,롯데,1,1,0,0,3,1,5,0,0,0.143
5,김상수,롯데,2,0,0,0,0,0,2,0,0,0.25
5,송재영,롯데,2,1,0,0,1,0,4,1,0,0.105
5,정현수,롯데,2,2,0,0,2,0,3,0,0,0.105
8,박진형,롯데,3,1,0,0,0,0,1,0,0,0.3
8,정성종,롯데,3,1,0,1,0,0,0,0,0,0.3
8,최준용,롯데,3,0,0,0,2,0,7,1,0,0.167
11,이민석,롯데,4,1,0,0,0,0,1,1,0,0.5
11,홍민기,롯데,4,1,0,0,1,0,4,0,0,0.211
13,박진,롯데,5,0,1,0,2,0,5,1,0,0.192
14,김진욱,롯데,6,0,0,0,1,0,3,0,0,0.3
14,반즈,롯데,6,2,0,0,4,0,3,0,0,0.286
16,김강현,롯데,7,0,0,1,3,0,3,0,0,0.269
16,정철원,롯데,7,2,0,0,5,1,6,2,0,0.25
16,한현희,롯데,7,1,0,2,1,0,2,1,0,0.368
19,벨라스케즈,롯데,8,4,0,0,2,2,5,0,0,0.229
20,감보아,롯데,12,3,0,0,5,0,9,0,0,0.286
20,김원중,롯데,12,1,0,1,4,0,14,1,0,0.293
20,나균안,롯데,12,3,0,1,4,0,18,0,0,0.188
23,데이비슨,롯데,14,2,0,3,4,1,15,1,0,0.311
24,박세웅,롯데,18,4,0,0,8,2,15,3,1,0.269
