순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
1,임종찬,한화,0.375,8,3,0,0,0,1,2,0,4,0
2,하주석,한화,0.353,34,12,2,0,0,4,2,1,14,0
3,문현빈,한화,0.339,56,19,4,0,0,7,5,1,8,1
4,최재훈,한화,0.333,30,10,5,0,0,4,8,1,6,0
5,김태연,한화,0.296,27,8,1,0,0,0,3,0,4,0
6,리베라토,한화,0.28,25,7,1,1,1,3,3,0,3,0
7,이재원,한화,0.278,18,5,0,0,0,2,1,0,4,1
8,노시환,한화,0.262,65,17,2,0,3,16,2,1,11,0
9,손아섭,한화,0.25,48,12,3,0,0,6,6,1,8,1
9,유로결,한화,0.25,4,1,0,0,0,0,0,1,1,0
9,이진영,한화,0.25,32,8,3,0,1,5,5,0,11,1
9,플로리얼,한화,0.25,32,8,3,0,2,3,2,0,11,0
13,심우준,한화,0.242,33,8,0,0,0,2,1,0,9,0
14,황영묵,한화,0.231,26,6,2,0,0,1,1,0,4,0
15,이도윤,한화,0.208,24,5,0,0,0,1,0,0,6,0
16,채은성,한화,0.2,55,11,3,0,1,8,6,2,12,0
17,최인호,한화,0.167,12,2,1,0,0,3,2,0,3,0
18,안치홍,한화,0.1,30,3,1,0,1,6,4,0,6,2
19,이원석,한화,0.077,13,1,0,0,0,1,5,0,4,0
20,권광민,한화,-,0,0,0,0,0,0,0,0,0,0
20,김인환,한화,0,4,0,0,0,0,0,0,0,2,0
20,이민재,한화,0,3,0,0,0,0,0,0,0,0,1
20,이상혁,한화,0,2,0,0,0,0,0,0,0,1,0
20,허인서,한화,0,1,0,0,0,0,0,0,0,0,0
