"순위","선수명","팀명","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SAC","SF"
"1","박건우","롯데","0.667","6","3","3","1","2","0","0","0","2","1","0","0"
"2","박찬형","롯데","0.341","48","148","129","21","44","8","2","3","65","19","0","1"
"3","레이예스","롯데","0.326","144","643","573","75","187","44","1","13","272","107","0","9"
"4","전준우","롯데","0.293","114","472","410","50","120","26","1","8","172","70","3","6"
"5","전민재","롯데","0.287","101","369","331","39","95","15","0","5","125","34","10","2"
"6","박재엽","롯데","0.286","9","16","14","2","4","1","0","1","8","3","0","0"
"7","윤동희","롯데","0.282","97","399","330","54","93","21","1","9","143","53","3","6"
"8","유강남","롯데","0.274","110","350","303","35","83","18","0","5","116","38","3","5"
"9","한태양","롯데","0.274","108","267","230","42","63","14","2","2","87","22","3","0"
"10","고승민","롯데","0.271","121","538","469","71","127","21","2","4","164","45","6","4"
"11","노진혁","롯데","0.270","28","69","63","11","17","1","2","1","25","5","0","0"
"12","장두성","롯데","0.262","118","284","248","51","65","3","3","0","74","25","7","2"
"13","황성빈","롯데","0.256","79","273","246","43","63","4","4","1","78","22","3","2"
"14","손호영","롯데","0.250","97","375","328","39","82","12","0","4","106","41","11","4"
"15","김민성","롯데","0.243","96","254","214","25","52","13","0","3","74","35","2","1"
"16","이호준","롯데","0.242","99","153","132","20","32","7","4","3","56","23","3","1"
"17","나승엽","롯데","0.229","105","392","328","40","75","12","2","9","118","44","3","1"
"18","김동혁","롯데","0.225","93","114","89","19","20","4","1","0","26","6","4","0"
"19","정훈","롯데","0.216","77","200","185","14","40","11","0","2","57","11","2","0"
"20","박승욱","롯데","0.190","54","92","84","10","16","3","0","0","19","5","2","0"
"21","정보근","롯데","0.186","93","152","129","4","24","4","1","1","33","15","4","0"
"22","신윤후","롯데","0.167","12","13","12","1","2","0","0","0","2","0","1","0"
"22","최항","롯데","0.167","8","7","6","1","1","0","0","0","1","1","0","0"
"24","손성빈","롯데","0.145","51","69","62","6","9","0","0","1","12","3","2","0"
"25","조세진","롯데","0.143","12","9","7","1","1","0","0","0","1","0","0","0"
"26","한승현","롯데","0.059","19","19","17","1","1","0","0","0","1","1","0","1"
"27","강성우","롯데","-","1","0","0","0","0","0","0","0","0","0","0","0"
"27","강승구","롯데","0.000","1","1","1","0","0","0","0","0","0","0","0","0"
"27","구승민","롯데","-","1","0","0","0","0","0","0","0","0","0","0","0"
"27","김강현","롯데","-","1","0","0","0","0","0","0","0","0","0","0","0"
"27","김태혁","롯데","-","1","0","0","0","0","0","0","0","0","0","0","0"
"27","김원중","롯데","-","8","0","0","0","0","0","0","0","0","0","0","0"
"27","박준우","롯데","-","1","0","0","0","0","0","0","0","0","0","0","0"
"27","박진","롯데","-","1","0","0","0","0","0","0","0","0","0","0","0"
"27","윤성빈","롯데","-","1","0","0","0","0","0","0","0","0","0","0","0"
"27","이인한","롯데","-","4","0","0","0","0","0","0","0","0","0","0","0"
"27","이태경","롯데","0.000","2","1","1","0","0","0","0","0","0","0","0","0"
"27","정철원","롯데","-","2","0","0","0","0","0","0","0","0","0","0","0"
"27","정현수","롯데","-","3","0","0","0","0","0","0","0","0","0","0","0"
