"순위","선수명","팀명","ERA","G","W","L","SV","HLD","WPCT","IP","H","HR","BB","HBP","SO","R","ER","WHIP"
"1","김원중","롯데","2.67","53","4","3","32","0","0.571","60 2/3","58","4","33","2","69","21","18","1.50"
"2","심재민","롯데","3.00","4","1","0","0","0","1.000","3","5","0","1","0","2","2","1","2.00"
"3","홍민기","롯데","3.09","25","0","2","0","3","0.000","32","24","0","11","2","39","13","11","1.09"
"4","감보아","롯데","3.58","19","7","8","0","0","0.467","108","97","6","49","4","117","54","43","1.35"
"5","데이비슨","롯데","3.65","22","10","5","0","0","0.667","123 1/3","123","10","48","5","119","53","50","1.39"
"6","정성종","롯데","3.86","2","0","0","0","0","-","2 1/3","3","1","0","0","0","1","1","1.29"
"7","나균안","롯데","3.87","28","3","7","0","0","0.300","137 1/3","143","13","50","5","116","67","59","1.41"
"8","정현수","롯데","3.97","82","2","0","0","12","1.000","47 2/3","34","4","26","2","47","23","21","1.26"
"9","김강현","롯데","4.00","67","2","2","0","4","0.500","72","69","9","21","7","36","37","32","1.25"
"9","송재영","롯데","4.00","46","1","0","0","3","1.000","27","19","3","24","0","28","13","12","1.59"
"11","정철원","롯데","4.24","75","8","3","0","21","0.727","70","72","4","28","7","55","34","33","1.43"
"12","김태현","롯데","4.50","1","0","0","0","0","-","2","1","0","4","0","2","2","1","2.50"
"13","박세웅","롯데","4.93","29","11","13","0","0","0.458","160 2/3","183","15","54","8","156","99","88","1.48"
"14","이민석","롯데","5.26","20","2","5","0","0","0.286","87 1/3","104","10","56","2","61","56","51","1.83"
"15","최준용","롯데","5.30","49","4","4","1","17","0.500","54 1/3","50","5","16","6","62","35","32","1.21"
"16","반즈","롯데","5.32","8","3","4","0","0","0.429","45 2/3","47","4","17","2","38","31","27","1.40"
"17","박진","롯데","5.32","51","3","3","1","3","0.500","69 1/3","76","10","22","1","50","42","41","1.41"
"18","정우준","롯데","5.40","3","0","0","0","0","-","3 1/3","6","0","0","1","3","2","2","1.80"
"19","한현희","롯데","6.23","3","0","0","0","1","-","8 2/3","13","2","2","1","8","6","6","1.73"
"20","김태혁","롯데","6.38","45","0","1","2","3","0.000","36 2/3","48","4","18","3","27","26","26","1.80"
"21","구승민","롯데","7.00","11","0","1","0","1","0.000","9","9","1","7","1","10","10","7","1.78"
"22","윤성빈","롯데","7.67","31","1","2","0","0","0.333","27","26","3","20","4","44","23","23","1.70"
"23","박준우","롯데","8.03","11","1","2","0","1","0.333","12 1/3","21","0","6","1","11","11","11","2.19"
"24","벨라스케즈","롯데","8.23","11","1","4","0","0","0.200","35","47","7","18","3","28","32","32","1.86"
"25","박진형","롯데","8.44","7","0","0","0","0","-","5 1/3","9","1","3","0","5","7","5","2.25"
"26","이영재","롯데","9.00","3","0","0","0","0","-","2","5","1","0","1","2","2","2","2.50"
"27","김진욱","롯데","10.00","14","1","3","0","0","0.250","27","42","10","16","2","24","32","30","2.15"
"28","박시영","롯데","11.05","11","1","0","0","0","1.000","7 1/3","9","0","9","2","10","9","9","2.45"
"29","박세현","롯데","14.73","3","0","0","0","0","-","3 2/3","8","1","1","1","4","6","6","2.45"
