순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
1,박재엽,롯데,0.5,4,2,0,0,1,3,2,0,1,0
2,윤동희,롯데,0.356,45,16,3,0,2,7,4,2,13,1
3,이호준,롯데,0.333,12,4,1,2,0,1,1,1,5,0
4,한태양,롯데,0.31,29,9,1,1,0,0,4,0,10,0
5,전민재,롯데,0.3,50,15,2,0,0,4,2,2,11,0
6,유강남,롯데,0.296,27,8,2,0,1,2,2,2,8,1
7,레이예스,롯데,0.266,64,17,5,0,0,5,5,0,12,5
8,김동혁,롯데,0.25,12,3,1,1,0,2,1,0,4,0
8,정훈,롯데,0.25,24,6,2,0,1,1,0,0,6,0
10,손호영,롯데,0.214,42,9,2,0,0,3,3,1,12,0
11,박찬형,롯데,0.2,5,1,0,0,0,0,1,0,0,0
11,장두성,롯데,0.2,20,4,1,0,0,3,0,0,5,2
13,고승민,롯데,0.196,51,10,2,0,0,3,5,0,15,1
14,나승엽,롯데,0.194,36,7,2,0,0,4,4,1,7,2
15,전준우,롯데,0.167,42,7,2,0,1,8,2,1,14,0
16,김민성,롯데,0.115,26,3,1,0,0,0,2,0,10,0
17,노진혁,롯데,0.111,9,1,0,0,0,0,0,0,2,0
17,황성빈,롯데,0.111,18,2,0,0,0,0,1,1,6,0
19,정보근,롯데,0.077,13,1,0,0,0,2,1,0,6,0
20,김강현,롯데,-,0,0,0,0,0,0,0,0,0,0
20,김원중,롯데,-,0,0,0,0,0,0,0,0,0,0
20,박건우,롯데,-,0,0,0,0,0,0,0,0,0,0
20,박승욱,롯데,0,1,0,0,0,0,0,0,0,1,0
20,손성빈,롯데,0,8,0,0,0,0,0,0,0,2,1
20,조세진,롯데,-,0,0,0,0,0,0,1,0,0,0
20,한승현,롯데,-,0,0,0,0,0,0,0,0,0,0
